"Sample.Name","ID","Exterior","Interior","Color","Alpha..ug.g.","Beta..ug.g.","Lut..ug.g.","Lycopene..ug.g.","Phyto..ug.g.","Zeta..ug.g.","AB.Ratio","Total"
80313,"PI 289700","Orange","Orange","Orange",199.5842661,549.222746,106.9650236,NA,23.16468622,23.98633561,7.00048470891003,795.95803393
80314,"PI 290762","Orange","Orange","Orange",211.8747273,276.0106296,75.3257631,NA,0,0,6.47700516823573,487.8853569
80315,"PI 294079","Orange","Orange","Orange",485.9399114,610.5197609,45.80147151,20.48172811,12.43494223,0,23.9393983675962,1108.89461453
80316,"PI 294080","Orange","Orange","Orange",847.4500352,1018.624205,113.1447505,22.66880601,55.46632336,NA,16.4928044116373,NA
80317,"PI 294081","Orange","Orange","Orange",25.85766607,45.50719243,8.825947063,NA,0,0,8.0858017831508,71.3648585
80319,"PI 294083","Orange","Orange","Orange",62.93275056,116.4233388,10.88504864,NA,0,0,16.4772887372233,179.35608936
80320,"PI 294084","Orange","Orange","Orange",867.6515917,1284.115692,130.11326,30.38161687,135.0837078,33.24355359,16.5376479207423,2320.09454509
80322,"PI 294086","Orange","Orange","Orange",43.80778908,101.1283506,23.31335232,NA,0,0,6.21687253255563,144.93613968
80324,"PI 294088","Orange","Orange","Orange",359.265316,623.1918873,214.9488343,NA,18.58150847,23.80851885,4.57065611218344,1024.84723062
80325,"PI 294089","Orange","Orange","Orange",191.7584507,572.7235099,311.0024905,22.57121564,55.63444023,89.27321332,2.45812166767841,909.38961415
80326,"PI 294090","Orange","Orange","Orange",593.236018,1135.56354,252.1114539,28.89156228,85.68325871,71.06043684,6.85728288523428,1885.54325355
80330,"PI 305443","Yellow","Yellow","Yellow",0,0,89.20006694,NA,0,0,0,0
80331,"PI 306588","Orange","Orange","Orange",159.7595808,385.0475659,35.32458992,NA,14.6957884,0,15.4228866614965,559.5029351
80332,"PI 306810","Orange","Yellow","Orange",85.80230027,222.2225512,159.4944314,NA,NA,10.69794734,1.9312577170641,NA
80333,"PI 308981","Yellow","White","Yellow",0,0,3.976160145,0,0,0,0,0
80334,"PI 319858","Orange","Orange","Orange",0,441.4158776,91.60321476,227.3959992,26.92384887,0,4.81878151063265,468.33972647
80335,"PI 319859","Red","Yellow","Red",0,31.5021057,117.3993761,52.33504474,24.75082856,0,0.268332820381999,56.25293426
80336,"PI 319860","Orange","Orange","Orange",0,102.5951182,87.18812199,57.03289851,31.21448842,0,1.17670980700521,133.80960662
80340,"PI 324241","Orange","Orange","Orange",212.5574514,334.3471806,56.75584414,16.93174612,8.446905208,13.89923968,9.6360936972578,569.250776888
80341,"PI 325984","Orange","Yellow","Orange",23.46609662,82.05549016,72.55811966,NA,0,0,1.45430431872358,105.52158678
80342,"PI 325985","Orange","Orange","Orange",196.2431085,401.3167557,142.4640584,NA,21.50166385,46.35795706,4.19446048997296,665.41948511
80343,"PI 325986","Orange","Orange","Orange",77.68409954,206.6995882,80.45362202,NA,5.700321017,19.7719093,3.53475307388032,309.855918057
80344,"PI 325987","Orange","Orange","Orange",193.4736598,362.7476615,39.33815977,15.96378237,5.953400383,0,14.1394850331607,562.174721683
80345,"PI 325988","Orange","Orange","Orange",649.6251739,1104.158307,NA,NA,NA,60.96466396,NA,NA
80347,"PI 325990","Orange","Orange","Orange",136.7741925,310.6950622,86.06903894,11.69931781,0,0,5.19895725816036,447.4692547
80348,"PI 325991","Orange","Orange","Orange",205.4018739,313.4113714,51.71379525,NA,8.52820522,0,10.0323954718833,527.34145052
80350,"PI 325993","Orange","Yellow","Orange",10.1830165,18.10895512,6.901724121,NA,0,0,4.09926144887703,28.29197162
80351,"PI 325994","Orange","Orange","Orange",225.8231347,385.5757286,57.26460627,14.57346112,NA,NA,10.6767321583821,NA
80352,"PI 325995","Orange","Orange","Orange",205.4407301,566.0330176,76.79710508,NA,0,32.81939259,10.0456097517784,804.29314029
80354,"PI 325996","Yellow","Yellow","Yellow",0,0,27.26666137,NA,0,0,0,0
80355,"PI 325997","Orange","Orange","Orange",NA,NA,9.951583798,NA,0,0,NA,NA
80356,"PI 325998","Orange","Orange","Orange",85.53351534,243.7331017,170.8768039,NA,0,0,1.92692401499207,329.26661704
80357,"PI 325999","Orange","Orange","Orange",33.38260612,90.67772837,16.85023853,NA,0,0,7.36252690246041,124.06033449
80358,"PI 326000","Orange","Orange","Orange",30.14985404,53.37752103,11.44077883,NA,0,0,7.30084693630949,83.52737507
80359,"PI 326001","Orange","Orange","Orange",62.14223127,137.6472284,33.04902672,NA,0,0,6.04524488308441,199.78945967
80360,"PI 326002","Orange","Orange","Orange",129.2312782,126.6691499,25.32774069,NA,6.085633955,0,10.1035631733641,261.986062055
